#{"t_start": 1733861681.073132, "env_id": "InvertedPendulum-v4"}
r,l,t
4.0,4,0.035174
4.0,4,0.037169
5.0,5,0.03916
3.0,3,0.041152
3.0,3,0.04215
4.0,4,0.044142
6.0,6,0.046288
5.0,5,0.048281
18.0,18,0.051271
14.0,14,0.06454
3.0,3,0.065836
10.0,10,0.065836
7.0,7,0.065836
7.0,7,0.065836
3.0,3,0.078358
5.0,5,0.081387
5.0,5,0.158841
3.0,3,0.218038
3.0,3,0.311095
3.0,3,0.374034
3.0,3,0.420905
3.0,3,0.494896
3.0,3,0.55181
3.0,3,0.627132
3.0,3,0.693299
3.0,3,0.780589
3.0,3,0.843885
3.0,3,0.912259
3.0,3,0.973852
3.0,3,1.070567
3.0,3,1.142215
3.0,3,1.232171
3.0,3,1.311163
3.0,3,1.39377
3.0,3,1.462386
3.0,3,1.56445
3.0,3,1.645612
3.0,3,1.747092
3.0,3,1.814951
3.0,3,1.911566
3.0,3,1.977111
3.0,3,2.08432
3.0,3,2.142821
3.0,3,2.227967
3.0,3,2.310502
3.0,3,2.41192
3.0,3,2.488782
3.0,3,2.560521
3.0,3,2.628533
3.0,3,2.70156
3.0,3,2.764465
3.0,3,2.842982
3.0,3,2.905487
3.0,3,2.984035
3.0,3,3.0524
3.0,3,3.133964
3.0,3,3.213489
3.0,3,3.336273
3.0,3,3.407159
3.0,3,3.480785
3.0,3,3.586047
3.0,3,3.682502
3.0,3,3.743043
3.0,3,3.814916
3.0,3,3.901136
3.0,3,3.987334
3.0,3,4.048982
3.0,3,4.134995
3.0,3,4.219007
3.0,3,4.294774
3.0,3,4.357676
3.0,3,4.449455
3.0,3,4.518875
3.0,3,4.615545
3.0,3,4.693493
3.0,3,4.781354
3.0,3,4.844716
3.0,3,4.93265
3.0,3,5.010596
3.0,3,5.096295
3.0,3,5.168329
3.0,3,5.243619
3.0,3,5.321743
3.0,3,5.415103
3.0,3,5.478879
3.0,3,5.578712
3.0,3,5.656146
3.0,3,5.758457
3.0,3,5.836969
3.0,3,5.931227
3.0,3,5.993616
3.0,3,6.087771
3.0,3,6.150679
3.0,3,6.231815
3.0,3,6.307331
3.0,3,6.385862
3.0,3,6.448763
3.0,3,6.532394
3.0,3,6.589785
3.0,3,6.683978
3.0,3,6.752905
3.0,3,6.841941
3.0,3,6.920068
3.0,3,6.998593
3.0,3,7.061508
3.0,3,7.140035
3.0,3,7.218161
