#{"t_start": 1733856326.3259227, "env_id": "InvertedPendulum-v4"}
r,l,t
4.0,4,0.038743
4.0,4,0.038743
4.0,4,0.038743
4.0,4,0.044271
6.0,6,0.047813
3.0,3,0.04901
8.0,8,0.04901
10.0,10,0.04901
6.0,6,0.060522
3.0,3,0.062533
4.0,4,0.064921
12.0,12,0.066298
4.0,4,0.066298
8.0,8,0.078307
7.0,7,0.081052
6.0,6,0.081052
15.0,15,0.31389
3.0,3,0.416617
3.0,3,0.50721
3.0,3,0.606849
3.0,3,0.68106
3.0,3,0.774086
3.0,3,0.868476
3.0,3,0.971269
3.0,3,1.061282
3.0,3,1.161261
3.0,3,1.271611
3.0,3,1.366892
3.0,3,1.448456
3.0,3,1.551469
3.0,3,1.62342
3.0,3,1.734572
3.0,3,1.829499
3.0,3,1.924032
3.0,3,2.021051
3.0,3,2.128502
3.0,3,2.226249
3.0,3,2.326721
3.0,3,2.421323
3.0,3,2.533148
3.0,3,2.611892
3.0,3,2.72315
3.0,3,2.817419
3.0,3,2.927192
3.0,3,3.006226
3.0,3,3.120336
3.0,3,3.211529
3.0,3,3.321638
3.0,3,3.416543
3.0,3,3.510844
3.0,3,3.589975
3.0,3,3.685486
3.0,3,3.78124
3.0,3,3.891607
3.0,3,3.985752
3.0,3,4.081461
3.0,3,4.164714
3.0,3,4.255699
3.0,3,4.350836
3.0,3,4.453515
3.0,3,4.525048
3.0,3,4.636447
3.0,3,4.73168
3.0,3,4.810962
3.0,3,4.905813
3.0,3,5.016568
3.0,3,5.095891
3.0,3,5.206144
3.0,3,5.301221
3.0,3,5.380723
3.0,3,5.475868
3.0,3,5.586504
3.0,3,5.666817
3.0,3,5.790593
3.0,3,5.869438
3.0,3,5.983922
3.0,3,6.074991
3.0,3,6.169024
3.0,3,6.263986
3.0,3,6.367004
3.0,3,6.449544
3.0,3,6.550432
3.0,3,6.645655
3.0,3,6.741004
3.0,3,6.835547
3.0,3,6.946651
3.0,3,7.041735
3.0,3,7.152002
3.0,3,7.24696
3.0,3,7.357898
3.0,3,7.437354
3.0,3,7.548262
3.0,3,7.64333
3.0,3,7.753278
3.0,3,7.83261
3.0,3,7.957416
3.0,3,8.035939
3.0,3,8.162457
3.0,3,8.257938
3.0,3,8.352921
3.0,3,8.447974
3.0,3,8.543218
3.0,3,8.638284
3.0,3,8.748153
3.0,3,8.826733
3.0,3,8.936392
3.0,3,9.01566
3.0,3,9.12667
3.0,3,9.220828
3.0,3,9.331267
3.0,3,9.426235
3.0,3,9.53704
3.0,3,9.632013
3.0,3,9.74245
3.0,3,9.821892
3.0,3,9.932286
3.0,3,10.01587
3.0,3,10.123112
3.0,3,10.201805
3.0,3,10.312004
3.0,3,10.390953
3.0,3,10.500948
3.0,3,10.595187
3.0,3,10.705713
3.0,3,10.784702
3.0,3,10.894645
3.0,3,10.989125
3.0,3,11.100205
3.0,3,11.195977
3.0,3,11.290966
3.0,3,11.38148
3.0,3,11.480248
3.0,3,11.58348
3.0,3,11.686945
3.0,3,11.772487
3.0,3,11.876746
3.0,3,11.957125
3.0,3,12.082672
3.0,3,12.161711
3.0,3,12.27267
3.0,3,12.372842
3.0,3,12.477263
3.0,3,12.556454
3.0,3,12.68329
3.0,3,12.772546
3.0,3,12.889472
3.0,3,12.98421
3.0,3,13.079809
3.0,3,13.174861
3.0,3,13.272714
3.0,3,13.348521
3.0,3,13.442672
3.0,3,13.538171
3.0,3,13.649206
3.0,3,13.743954
3.0,3,13.838275
3.0,3,13.933437
3.0,3,14.043217
3.0,3,14.122595
3.0,3,14.233228
3.0,3,14.328785
3.0,3,14.437967
3.0,3,14.516767
3.0,3,14.627419
3.0,3,14.706223
3.0,3,14.817625
3.0,3,14.896738
3.0,3,15.007068
3.0,3,15.086022
3.0,3,15.195696
3.0,3,15.27483
3.0,3,15.368247
3.0,3,15.448736
3.0,3,15.548446
3.0,3,15.622696
3.0,3,15.717119
3.0,3,15.811813
3.0,3,15.921346
3.0,3,16.015602
3.0,3,16.12657
3.0,3,16.220901
3.0,3,16.316504
3.0,3,16.410655
3.0,3,16.522035
3.0,3,16.616467
3.0,3,16.727452
3.0,3,16.806604
3.0,3,16.917202
3.0,3,16.996503
3.0,3,17.106533
3.0,3,17.201939
3.0,3,17.297198
3.0,3,17.391381
3.0,3,17.501538
3.0,3,17.596177
3.0,3,17.707076
3.0,3,17.776105
3.0,3,17.876077
3.0,3,17.943369
3.0,3,18.068964
3.0,3,18.131866
3.0,3,18.24566
3.0,3,18.336197
3.0,3,18.431167
3.0,3,18.525313
3.0,3,18.635652
3.0,3,18.714651
3.0,3,18.82581
3.0,3,18.904847
